,Symptom,Disease
0,"blood in stool ,sharp abdominal pain ,vomiting ,nausea ,diarrhea ,burning abdominal pain ,decreased appetite ",infectious gastroenteritis
1,"nausea ,burning abdominal pain ,decreased appetite ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
2,"vomiting ,headache ,diarrhea ,burning abdominal pain ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
3,"blood in stool ,sharp abdominal pain ,vomiting ,nausea ,fever ",infectious gastroenteritis
4,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,nausea ,diarrhea ,fever ,chills ,fluid retention ",infectious gastroenteritis
5,"vomiting ,burning abdominal pain ,decreased appetite ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
6,"sharp abdominal pain ,headache ,diarrhea ,burning abdominal pain ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
7,"blood in stool ,headache ,nausea ,burning abdominal pain ,chills ,flu-like syndrome ",infectious gastroenteritis
8,"burning abdominal pain ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
9,"diarrhea ,chills ",infectious gastroenteritis
10,"sharp abdominal pain ,headache ,diarrhea ,decreased appetite ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
11,"blood in stool ,sharp abdominal pain ,nausea ,diarrhea ,decreased appetite ,flu-like syndrome ",infectious gastroenteritis
12,"blood in stool ,nausea ,burning abdominal pain ,chills ,flu-like syndrome ",infectious gastroenteritis
13,"blood in stool ,sharp abdominal pain ,vomiting ,diarrhea ,decreased appetite ,chills ,fluid retention ",infectious gastroenteritis
14,"sharp abdominal pain ,headache ,diarrhea ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
15,"blood in stool ,vomiting ,diarrhea ,burning abdominal pain ,fever ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
16,"sharp abdominal pain ,vomiting ,nausea ,diarrhea ,burning abdominal pain ,chills ,flu-like syndrome ",infectious gastroenteritis
17,"blood in stool ,vomiting ,headache ,nausea ,diarrhea ,burning abdominal pain ,chills ",infectious gastroenteritis
18,"sharp abdominal pain ,vomiting ,decreased appetite ,flu-like syndrome ",infectious gastroenteritis
19,"blood in stool ,sharp abdominal pain ,vomiting ,headache ,diarrhea ,flu-like syndrome ",infectious gastroenteritis
20,"vomiting ,headache ,nausea ,diarrhea ,burning abdominal pain ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
21,"blood in stool ,nausea ,burning abdominal pain ,decreased appetite ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
22,"vomiting ,headache ,nausea ,diarrhea ,fluid retention ",infectious gastroenteritis
23,"vomiting ,burning abdominal pain ,fever ,chills ",infectious gastroenteritis
24,"blood in stool ,sharp abdominal pain ,headache ,diarrhea ,fever ,chills ",infectious gastroenteritis
25,"blood in stool ,sharp abdominal pain ,nausea ,burning abdominal pain ,chills ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
26,"decreased appetite ,fever ,fluid retention ,flu-like syndrome ",infectious gastroenteritis
27,"sharp abdominal pain ,vomiting ,nausea ,diarrhea ,burning abdominal pain ,fluid retention ",infectious gastroenteritis
28,"nausea ,diarrhea ,fever ,chills ",infectious gastroenteritis
29,"sharp abdominal pain ,headache ,burning abdominal pain ,fluid retention ",infectious gastroenteritis
30,"blood in stool ,vomiting ,headache ,diarrhea ,decreased appetite ,fever ,chills ,fluid retention ",infectious gastroenteritis
31,"nausea ,decreased appetite ,fever ,chills ,flu-like syndrome ",infectious gastroenteritis
32,"sharp abdominal pain ,nausea ,diarrhea ,decreased appetite ,flu-like syndrome ",infectious gastroenteritis
33,"sharp abdominal pain ,vomiting ,nausea ,diarrhea ,fluid retention ",infectious gastroenteritis
34,"blood in stool ,sharp abdominal pain ,vomiting ,burning abdominal pain ,chills ,flu-like syndrome ",infectious gastroenteritis
35,"blood in stool ,headache ,diarrhea ,decreased appetite ,flu-like syndrome ",infectious gastroenteritis
36,"blood in stool ,sharp abdominal pain ,nausea ,diarrhea ,burning abdominal pain ,chills ,fluid retention ",infectious gastroenteritis
37,"sharp abdominal pain ,nausea ,diarrhea ,decreased appetite ,chills ,fluid retention ",infectious gastroenteritis
38,"sharp abdominal pain ,nausea ,fever ,chills ",infectious gastroenteritis
39,"blood in stool ,vomiting ,headache ,diarrhea ,decreased appetite ,chills ,fluid retention ",infectious gastroenteritis
40,"nausea ,diarrhea ,chills ",infectious gastroenteritis
