,Symptom,Disease
0,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,decreased appetite ",eating disorder
1,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
2,"anxiety and nervousness ,abusing alcohol ,weight gain ,difficulty eating ",eating disorder
3,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
4,"depression ,insomnia ,difficulty eating ,decreased appetite ",eating disorder
5,"depression ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
6,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ",eating disorder
7,"anxiety and nervousness ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
8,"anxiety and nervousness ,abusing alcohol ,acne or pimples ",eating disorder
9,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,weight gain ",eating disorder
10,"anxiety and nervousness ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
11,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
12,"anxiety and nervousness ,depression ,insomnia ,acne or pimples ,difficulty eating ",eating disorder
13,"anxiety and nervousness ,depression ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
14,"depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
15,"anxiety and nervousness ,acne or pimples ",eating disorder
16,"depressive or psychotic symptoms ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
17,"anxiety and nervousness ,depression ,acne or pimples ,difficulty eating ",eating disorder
18,"anxiety and nervousness ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ",eating disorder
19,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
20,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,weight gain ,difficulty eating ",eating disorder
21,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,decreased appetite ",eating disorder
22,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
23,"depressive or psychotic symptoms ,insomnia ,difficulty eating ",eating disorder
24,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ",eating disorder
25,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
26,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
27,"insomnia ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
28,"anxiety and nervousness ,abusing alcohol ,decreased appetite ",eating disorder
29,"depression ,insomnia ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
30,"anxiety and nervousness ,abusing alcohol ,weight gain ,decreased appetite ",eating disorder
31,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,acne or pimples ",eating disorder
32,"insomnia ,abusing alcohol ,weight gain ,decreased appetite ",eating disorder
