,Symptom,Disease
0,"leg pain ,hip pain ,arm pain ,neck pain ,low back pain ,knee pain ,loss of sensation ",spondylosis
1,"back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,shoulder pain ",spondylosis
2,"leg pain ,back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,lower body pain ",spondylosis
3,"leg pain ,hip pain ,arm pain ,neck pain ,paresthesia ",spondylosis
4,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,low back pain ,paresthesia ,shoulder pain ,ache all over ",spondylosis
5,"arm pain ,knee pain ,loss of sensation ,shoulder pain ",spondylosis
6,"back pain ,neck pain ,knee pain ,loss of sensation ,shoulder pain ,ache all over ",spondylosis
7,"hip pain ,arm pain ,low back pain ,loss of sensation ,ache all over ",spondylosis
8,"leg pain ,hip pain ,low back pain ,knee pain ,shoulder pain ",spondylosis
9,"hip pain ,arm pain ,neck pain ,knee pain ,paresthesia ,shoulder pain ",spondylosis
10,"hip pain ,back pain ,low back pain ,loss of sensation ,paresthesia ,lower body pain ",spondylosis
11,"leg pain ,hip pain ,neck pain ,low back pain ,paresthesia ,shoulder pain ,ache all over ",spondylosis
12,"arm pain ,neck pain ,lower body pain ",spondylosis
13,"leg pain ,hip pain ,arm pain ,low back pain ,loss of sensation ,shoulder pain ,ache all over ",spondylosis
14,"leg pain ,neck pain ,knee pain ,paresthesia ",spondylosis
15,"neck pain ,loss of sensation ,paresthesia ,shoulder pain ",spondylosis
16,"hip pain ,arm pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,ache all over ,lower body pain ",spondylosis
17,"arm pain ,back pain ,low back pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
18,"hip pain ,arm pain ,back pain ,low back pain ",spondylosis
19,"leg pain ,hip pain ,arm pain ,back pain ,low back pain ,lower body pain ",spondylosis
20,"arm pain ,back pain ,neck pain ,low back pain ,knee pain ,paresthesia ",spondylosis
21,"leg pain ,hip pain ,back pain ,loss of sensation ,paresthesia ,ache all over ,lower body pain ",spondylosis
22,"leg pain ,arm pain ,loss of sensation ,ache all over ",spondylosis
23,"back pain ,neck pain ,low back pain ,loss of sensation ,shoulder pain ,ache all over ,lower body pain ",spondylosis
24,"hip pain ,neck pain ,knee pain ,paresthesia ,shoulder pain ",spondylosis
25,"hip pain ,neck pain ,loss of sensation ,paresthesia ",spondylosis
26,"loss of sensation ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
27,"hip pain ,arm pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,lower body pain ",spondylosis
28,"hip pain ,arm pain ,low back pain ,knee pain ,paresthesia ",spondylosis
29,"hip pain ,back pain ,knee pain ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
30,"low back pain ,knee pain ,loss of sensation ,shoulder pain ,lower body pain ",spondylosis
31,"neck pain ,knee pain ,ache all over ,lower body pain ",spondylosis
32,"arm pain ,back pain ,neck pain ,shoulder pain ,lower body pain ",spondylosis
33,"leg pain ,hip pain ,back pain ,low back pain ,paresthesia ,ache all over ,lower body pain ",spondylosis
34,"leg pain ,hip pain ,arm pain ,knee pain ,shoulder pain ,lower body pain ",spondylosis
35,"leg pain ,hip pain ,back pain ,paresthesia ,ache all over ,lower body pain ",spondylosis
36,"hip pain ,arm pain ,knee pain ,loss of sensation ,ache all over ,lower body pain ",spondylosis
37,"hip pain ,arm pain ,back pain ,neck pain ,low back pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
38,"hip pain ,low back pain ,loss of sensation ,paresthesia ,ache all over ,lower body pain ",spondylosis
39,"leg pain ,neck pain ,low back pain ,paresthesia ,shoulder pain ,ache all over ",spondylosis
40,"neck pain ,low back pain ,paresthesia ,shoulder pain ",spondylosis
41,"arm pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,paresthesia ,ache all over ",spondylosis
42,"arm pain ,back pain ,neck pain ,low back pain ,knee pain ,paresthesia ,shoulder pain ,lower body pain ",spondylosis
43,"hip pain ,arm pain ,back pain ,neck pain ,loss of sensation ,shoulder pain ",spondylosis
44,"arm pain ,neck pain ,loss of sensation ,shoulder pain ,lower body pain ",spondylosis
45,"leg pain ,arm pain ,back pain ,neck pain ,loss of sensation ,ache all over ",spondylosis
46,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,low back pain ,loss of sensation ,shoulder pain ,lower body pain ",spondylosis
47,"leg pain ,low back pain ,loss of sensation ,shoulder pain ,ache all over ,lower body pain ",spondylosis
48,"hip pain ,loss of sensation ,shoulder pain ",spondylosis
49,"low back pain ,loss of sensation ,ache all over ,lower body pain ",spondylosis
50,"hip pain ,back pain ,knee pain ,paresthesia ,shoulder pain ,ache all over ,lower body pain ",spondylosis
51,"hip pain ,arm pain ,neck pain ,knee pain ,shoulder pain ,ache all over ",spondylosis
52,"leg pain ,hip pain ,arm pain ,back pain ,neck pain ,low back pain ,knee pain ,loss of sensation ,shoulder pain ",spondylosis
53,"hip pain ,arm pain ,back pain ,neck pain ,knee pain ,loss of sensation ,shoulder pain ",spondylosis
54,"leg pain ,arm pain ,loss of sensation ,paresthesia ,shoulder pain ",spondylosis
55,"leg pain ,arm pain ,back pain ,neck pain ,low back pain ,knee pain ,paresthesia ,shoulder pain ,ache all over ",spondylosis
